printer,c_bluetooth,c_ethernet,c_usb,c_walk_up,c_wifi,duty_cycle_max,duty_cycle_normal,f_copy,f_fax,f_print,f_scan,mfg_model_number,mfg_model_name,o_adf_capacity,o_borderless,o_duplex,o_duplex_scan,o_staple,o_touchscreen,papersize_max,papersize_supported,ppm_color,ppm_mono,print_technology,available
705,,,,,,,,,,,,Z8Z10A,HP LaserJet MFP E72535dn,,,,,,,,,,,,True
705,,,,,,,,,,,,Z8Z11A,HP LaserJet MFP E72535z,,,,,,,,,,,,True
706,,,,,,,,,,,,Z8Z00A,HP Color LaserJet MFP E77822dn,,,,,,,,,,,,True
706,,,,,,,,,,,,Z8Z01A,HP Color LaserJet MFP E77822z,,,,,,,,,,,,True
707,,,,,,,,,,,,Z8Z02A,HP Color LaserJet MFP E77825dn,,,,,,,,,,,,True
707,,,,,,,,,,,,Z8Z03A,HP Color LaserJet MFP E77825z,,,,,,,,,,,,True
708,,,,,,,,,,,,Z8Z04A,HP Color LaserJet MFP E77830dn,,,,,,,,,,,,True
708,,,,,,,,,,,,Z8Z05A,HP Color LaserJet MFP E77830z,,,,,,,,,,,,True
709,,,,,,,,,,,,Z8Z18A,HP LaserJet Managed MFP E82540dn,,,,,,,,,,,,True
709,,,,,,,,,,,,Z8Z19A,HP LaserJet Managed MFP E82540z,,,,,,,,,,,,True
710,,,,,,,,,,,,Z8Z20A,HP LaserJet Managed MFP E82550dn,,,,,,,,,,,,True
710,,,,,,,,,,,,Z8Z21A,HP LaserJet Managed MFP E82550z,,,,,,,,,,,,True
711,,,,,,,,,,,,Z8Z22A,HP LaserJet Managed MFP E82560dn,,,,,,,,,,,,True
711,,,,,,,,,,,,Z8Z23A,HP LaserJet Managed MFP E82560z,,,,,,,,,,,,True
712,,,,,,,,,,,,Z8Z12A,HP Color LaserJet MFP E87640dn,,,,,,,,,,,,True
712,,,,,,,,,,,,Z8Z13A,HP Color LaserJet MFP E87640z,,,,,,,,,,,,True
713,,,,,,,,,,,,Z8Z14A,HP Color LaserJet MFP E87650dn,,,,,,,,,,,,True
713,,,,,,,,,,,,Z8Z15A,HP Color LaserJet MFP E87650z,,,,,,,,,,,,True
714,,,,,,,,,,,,Z8Z16A,HP Color LaserJet MFP E87660dn,,,,,,,,,,,,True
714,,,,,,,,,,,,Z8Z17A,HP Color LaserJet MFP E87660z,,,,,,,,,,,,True
714,,,,,,,,,,,,X3A92A,HP Color LaserJet Managed Flow MFP E87660z,,,,,,,,,,,,True
714,,,,,,,,,,,,X3A93A,HP Color LaserJet Managed MFP E87660dn,,,,,,,,,,,,True
1043,,,,,,,,,,,,B7030/SM2,Xerox VersaLink B7030 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
805,,,,,,,,,,,,CC489A,HP Color LaserJet CP4025n,,,,,,,,,,,,True
805,,,,,,,,,,,,CC490A,HP Color LaserJet CP4025dn,,,,,,,,,,,,True
809,,,,,,,,,,,,Q3933A,HP Color LaserJet CP6015x,,,,,,,,,,,,True
811,,,,,,,,,,,,1PU51A,HP LaserJet Managed E50145dn,,,,,,,,,,,,True
812,,,,,,,,,,,,3GY20A,HP LaserJet Managed MFP E52545c,,,,,,,,,,,,True
812,,,,,,,,,,,,3GY19A,HP LaserJet Managed MFP E52545dn,,,,,,,,,,,,True
813,,,,,,,,,,,,1PS55A,HP LaserJet Managed Flow MFP E52645c,,,,,,,,,,,,True
813,,,,,,,,,,,,1PS54A,HP LaserJet Managed MFP E52645dn,,,,,,,,,,,,True
814,,,,,,,,,,,,3GX98A,HP Color LaserJet Managed E55040dw,,,,,,,,,,,,True
815,,,,,,,,,,,,L3U44A,HP PageWide Managed Color E55650dn,,,,,,,,,,,,True
816,,,,,,,,,,,,3GY25A,HP Color LaserJet Managed E57540dn,,,,,,,,,,,,True
816,,,,,,,,,,,,3GY26A,HP Color LaserJet Managed E57540c,,,,,,,,,,,,True
817,,,,,,,,,,,,L3U42A,HP PageWide Managed Color MFP E58650dn,,,,,,,,,,,,True
817,,,,,,,,,,,,L3U43A,HP PageWide Managed Color Flow MFP E58650z,,,,,,,,,,,,True
